scientificName
Acamptopappus sphaerocephalus
Achillea filipendulina
Achillea lanulosa
Achillea millefolium
Achillea millefolium var. arenicola
Achillea millefolium var. californica
Achillea taygetea
Achyrachaena mollis
Acourtia microcephala
Acroptilon repens
Actinolepis multicaulis var. papposa
Adenophyllum cooperi
Ageratina adenophora
Ageratina occidentalis
Ageratum houstonianum
Agoseris apargioides
Agoseris apargioides var. apargioides
Agoseris grandiflora
Agoseris grandiflora var. grandiflora
Agoseris heterophylla
Agoseris heterophylla var. cryptopleura
Agoseris heterophylla var. heterophylla
Agoseris heterophylla var. kymapleura
Agoseris hirsuta
Agoseris retrorsa
Amblyopappus pusillus
Ambrosia acanthicarpa
Ambrosia artemisiifolia
Ambrosia chamissonis
Ambrosia chamissonis var. bipinnatisecta
Ambrosia chamissonis var. chamissonis
Ambrosia confertiflora
Ambrosia psilostachya
Ambrosia psilostachya var. californica
Ambrosia salsola
Ambrosia salsola var. salsola
Ambrosia trifida
Anaphalis margaritacea
Ancistrocarphus filagineus
Anisocarpus madioides
Anisocoma acaulis
Anthemis
Anthemis arvensis
Anthemis cotula
Arctotheca calendula
Arctotheca prostrata
Argyranthemum
Argyranthemum frutescens
Arnica dealbata
Arnica discoidea
Arnica longifolia
Artemisia
Artemisia absinthium
Artemisia biennis
Artemisia californica
Artemisia cana subsp. cana
Artemisia douglasiana
Artemisia dracunculus
Artemisia ludoviciana subsp. incompta
Artemisia pycnocephala
Artemisia tridentata
Artemisia tridentata subsp. parishii
Artemisia tridentata subsp. tridentata
Artemisia vulgaris
Aster ascendens
Aster bernardinus
Aster chilensis
Aster lanceolatus subsp. hesperius
Aster occidentalis
Aster radulinus
Aster subulatus var. ligulatus
Asteriscus maritimus
Baccharis douglasii
Baccharis glutinosa
Baccharis pilularis
Baccharis pilularis subsp. consanguinea
Baccharis pilularis subsp. pilularis
Baccharis pilularis var. consanguinea
Baccharis pilularis var. pilularis
Baccharis plummerae
Baccharis plummerae subsp. glabrata
Baccharis plummerae subsp. plummerae
Baccharis salicifolia
Baccharis salicifolia subsp. salicifolia
Baccharis viminea
Baeria chrysostoma var. gracilis
Baeria fremontii
Baeria hirsutula
Baeria minor
Bahiopsis laciniata
Bellis perennis
Bidens ferulifolia
Bidens laevis
Bidens pilosa
Bidens pilosa var. pilosa
Blennosperma nanum
Blennosperma nanum var. nanum
Blepharizonia laxa
Blepharizonia plumosa
Blepharizonia plumosa subsp. viscida
Brickellia californica
Brickellia nevinii
Calendula arvensis
Calendula officinalis
Calocephalus brownii
Calycadenia truncata
Calycadenia truncata subsp. truncata
Calycadenia villosa
Carduus pycnocephalus
Carduus pycnocephalus subsp. pycnocephalus
Carduus tenuiflorus
Carthamus baeticus
Carthamus creticus
Carthamus lanatus
Carthamus tinctorius
Centaurea benedicta
Centaurea calcitrapa
Centaurea cyanus
Centaurea iberica
Centaurea melitensis
Centaurea ragusina
Centaurea solstitialis
Centromadia fitchii
Centromadia parryi
Centromadia parryi subsp. congdonii
Centromadia pungens
Centromadia pungens subsp. pungens
Chaenactis
Chaenactis artemisiifolia
Chaenactis fremontii
Chaenactis glabriuscula
Chaenactis glabriuscula var. denudata
Chaenactis glabriuscula var. glabriuscula
Chaenactis glabriuscula var. heterocarpha
Chaenactis glabriuscula var. lanosa
Chaenactis glabriuscula var. megacephala
Chaenactis lanosa
Chaenactis stevioides
Chaenactis stevioides var. brachypappa
Chaenactis tanacetifolia
Chaenactis xantiana
Chamomilla suaveolens
Chondrilla juncea
Chrysanthemum coronarium
Chrysothamnus nauseosus subsp. hololeucus
Cichorium endivia
Cichorium intybus
Cirsium
Cirsium arvense
Cirsium brevistylum
Cirsium californicum
Cirsium fontinale var. obispoense
Cirsium loncholepis
Cirsium occidentale
Cirsium occidentale var. californicum
Cirsium occidentale var. compactum
Cirsium occidentale var. coulteri
Cirsium occidentale var. lucianum
Cirsium occidentale var. occidentale
Cirsium occidentale var. venustum
Cirsium proteanum
Cirsium quercetorum
Cirsium rhothophilum
Cirsium scariosum var. citrinum
Cirsium scariosum var. loncholepis
Cirsium undulatum
Cirsium venustum
Cirsium vulgare
Conyza bonariensis
Conyza canadensis
Conyza coulteri
Coreopsis bigelovii
Coreopsis calliopsidea
Coreopsis douglasii
Coreopsis gigantea
Coreopsis grandiflora
Corethrogyne
Corethrogyne californica
Corethrogyne filaginifolia
Corethrogyne filaginifolia var. californica
Corethrogyne filaginifolia var. filaginifolia
Corethrogyne filaginifolia var. robusta
Corethrogyne filaginifolia var. virgata
Corethrogyne leucophylla
Cosmos bipinnatus
Cosmos sulphureus
Cotula australis
Cotula coronopifolia
Crepis capillaris
Crocidium
Crocidium multicaule
Cynara cardunculus
Cynara cardunculus subsp. cardunculus
Cynara cardunculus subsp. flavescens
Dahlia imperialis
Deinandra
Deinandra corymbosa
Deinandra corymbosa subsp. corymbosa
Deinandra corymbosa subsp. macrocephala
Deinandra fasciculata
Deinandra halliana
Deinandra increscens
Deinandra increscens subsp. increscens
Deinandra kelloggii
Deinandra lobbii
Deinandra pallida
Deinandra paniculata
Deinandra pentactic
Deinandra pentactis
Delairea odorata
Dimorphotheca ecklonis
Dimorphotheca fruticosa
Dimorphotheca sinuata
Dittrichia graveolens
Eastwoodia elegans
Eatonella congdonii
Eclipta prostrata
Encelia actoni
Encelia californica
Encelia farinosa
Encelia frutescens
Erechtites glomerata
Erechtites glomeratus
Ericameria arborescens
Ericameria cooperi var. cooperi
Ericameria cuneata
Ericameria cuneata var. spathulata
Ericameria ericoides
Ericameria ericoides var. ericoides
Ericameria linearifolia
Ericameria nauseosa var. hololeuca
Ericameria nauseosa var. mohavensis
Ericameria nauseosa var. oreophila
Ericameria palmeri var. pachylepis
Ericameria pinifolia
Erigeron
Erigeron blochmaniae
Erigeron bonariensis
Erigeron canadensis
Erigeron conditii
Erigeron divergens
Erigeron filifolius
Erigeron foliosus
Erigeron foliosus var. blochmaniae
Erigeron foliosus var. foliosus
Erigeron foliosus var. franciscensis
Erigeron foliosus var. stenophyllus
Erigeron glaucus
Erigeron inornatus
Erigeron karvinskianus
Erigeron petrophilus
Erigeron petrophilus var. petrophilus
Erigeron philadelphicus
Erigeron philadelphicus var. philadelphicus
Erigeron sanctarum
Erigeron sumatrensis
Eriophyllum
Eriophyllum confertiflorum
Eriophyllum confertiflorum confertiflorum
Eriophyllum confertiflorum var. confertiflorum
Eriophyllum lanatum
Eriophyllum lanatum var. achillaeoides
Eriophyllum lanatum var. achilleoides
Eriophyllum lanatum var. achillioides
Eriophyllum lanatum var. arachnoideum
Eriophyllum multicaule
Eriophyllum pringlei
Eriophyllum staechadifolium
Eriophyllum staechadifolium var. artemisiifolium
Eriophyllum staechadifolium var. artmisiaefolium
Eurybia radulina
Euryops pectinatus
Euryops virgineus
Euthamia occidentalis
Filago californica
Filago gallica
Franseria bipinnatifida
Franseria chamissonis subsp. bipinnatisecta
Gaillardia aristata
Gamochaeta pensylvanica
Gamochaeta purpurea
Gamochaeta ustulata
Gazania
Gazania linearis
Gazania longiscapa
Glebionis coronaria
Glebionis segetum
Gnaphalium
Gnaphalium beneolens
Gnaphalium bicolor
Gnaphalium californicum
Gnaphalium canescens
Gnaphalium canescens subsp. beneolens
Gnaphalium canescens subsp. microcephalum
Gnaphalium chilense
Gnaphalium luteo-album
Gnaphalium luteoalbum
Gnaphalium palustre
Gnaphalium purpureum
Gnaphalium ramosissimum
Gnaphalium stramineum
Grindelia
Grindelia camporum
Grindelia camporum var. bracteosa
Grindelia hirsutula
Grindelia hirsutula var. maritima
Grindelia robusta
Grindelia squarrosa
Grindelia stricta
Grindelia stricta var. platyphylla
Gutierrezia californica
Gutierrezia sarothrae
Haplopappus linearifolius
Haplopappus menziesii
Haplopappus squarrosus
Haplopappus venetus subsp. vernonioides
Haplopappus venetus var. vernonioides
Hazardia squarrosa
Hazardia squarrosa var. grindelioides
Hazardia squarrosa var. squarrosa
Hazardia stenolepis
Hedypnois cretica
Hedypnois rhagadioloides
Helenium amarum
Helenium bigelovii
Helenium puberulum
Helianthus annuus
Helianthus bolanderi
Helianthus gracilentus
Helianthus maximiliani
Helichrysum petiolare
Helminthotheca echioides
Hemizonia
Hemizonia angustifolia var. barclayi
Hemizonia congesta
Hemizonia congesta subsp. congesta
Hemizonia congesta subsp. luzulifolia
Hemizonia corymbosa
Hemizonia corymbosa subsp. corymbosa
Hemizonia corymbosa subsp. macrocephala
Hemizonia fasciculata
Hemizonia fitchii
Hemizonia halliana
Hemizonia increscens
Hemizonia increscens subsp. foliosa
Hemizonia increscens subsp. increscens
Hemizonia kelloggii
Hemizonia lobbii
Hemizonia luzulifolia
Hemizonia luzulifolia subsp. rudis
Hemizonia pallida
Hemizonia paniculata
Hemizonia paniculata subsp. foliosa
Hemizonia paniculata subsp. increscens
Hemizonia parryi subsp. congdonii
Hemizonia pentactis
Hemizonia pungens
Hemizonia pungens subsp. pungens
Hesperevax acaulis
Hesperevax acaulis var. acaulis
Hesperevax acaulis var. ambusticola
Hesperevax caulescens
Hesperevax sparsiflora
Hesperevax sparsiflora var. brevifolia
Hesperevax sparsiflora var. sparsiflora
Heteranthemis viscidehirta
Heteranthemis viscidi-hirta
Heteranthemis viscidihirta
Heterotheca grandiflora
Heterotheca oregona
Heterotheca oregona var. compacta
Heterotheca oregona var. oregona
Heterotheca oregona var. scaberrima
Heterotheca rudis
Heterotheca scaberrima
Heterotheca sessiliflora
Heterotheca sessiliflora subsp. echioides
Heterotheca villosissima
Hieracium albiflorum
Hieracium argutum
Holocarpha
Holocarpha heermannii
Holocarpha virgata
Holocarpha virgata subsp. virgata
Holozonia filipes
Hulsea heterochroma
Hypochaeris glabra
Hypochaeris radicata
Ismelia carinata
Isocoma acradenia
Isocoma acradenia var. acradenia
Isocoma acradenia var. bracteosa
Isocoma arguta
Isocoma menziesii
Isocoma menziesii var. decumbens
Isocoma menziesii var. menziesii
Isocoma menziesii var. sedoides
Isocoma menziesii var. vernonioides
Isocoma veneta
Isocoma veneta var. vernonioides
Iva axillaris
Jaumea carnosa
Kleinia anteuphorbium
Kleinia ficoides
Lactuca saligna
Lactuca sativa
Lactuca serriola
Lactuca virosa
Laennecia coulteri
Lagophylla ramosissima
Lagophylla ramosissima subsp. ramosissima
Lasthenia
Lasthenia californica
Lasthenia californica subsp. bakeri
Lasthenia californica subsp. californica
Lasthenia californica subsp. macrantha
Lasthenia chrysostoma
Lasthenia conjugens
Lasthenia debilis
Lasthenia ferrisiae
Lasthenia fremontii
Lasthenia glaberrima
Lasthenia glabrata
Lasthenia glabrata subsp. coulteri
Lasthenia glabrata subsp. glabrata
Lasthenia glabrata var. coulteri
Lasthenia glabrata var. glabrata
Lasthenia gracilis
Lasthenia hirsutula
Lasthenia leptalea
Lasthenia macrantha subsp. macrantha
Lasthenia maritima
Lasthenia microglossa
Lasthenia minor
Layia
Layia gaillardioides
Layia glandulosa
Layia glandulosa subsp. glandulosa
Layia glandulosa subsp. lutea
Layia heterotricha
Layia hieracioides
Layia jonesii
Layia munzii
Layia pentachaeta
Layia pentachaeta subsp. albida
Layia pentachaeta subsp. pentachaeta
Layia platyglossa
Layia platyglossa subsp. campestris
Layia platyglossa subsp. platyglossa
Lembertia congdonii
Leontodon saxatilis
Leontodon saxatilis subsp. saxatilis
Lepidospartum squamatum
Leptosyne bigelovii
Leptosyne californica
Leptosyne calliopsidea
Leptosyne douglasii
Leptosyne gigantea
Lessingia
Lessingia filaginifolia
Lessingia filaginifolia var. filaginifolia
Lessingia germanorum var. glandulifera
Lessingia germanorum var. tenuipes
Lessingia glandulifera
Lessingia glandulifera var. glandulifera
Lessingia glandulifera var. peirsonii
Lessingia lemmonii var. peirsonii
Lessingia pectinata
Lessingia pectinata var. pectinata
Lessingia pectinata var. tenuipes
Lessingia tenuis
Leucanthemum vulgare
Liabum polycephalum
Logfia filaginoides
Logfia gallica
Madia
Madia elegans
Madia elegans subsp. elegans
Madia elegans subsp. vernalis
Madia exigua
Madia gracilis
Madia madioides
Madia radiata
Madia sativa
Malacothrix
Malacothrix californica
Malacothrix clevelandii
Malacothrix coulteri
Malacothrix floccifera
Malacothrix glabrata
Malacothrix incana
Malacothrix phaeocarpa
Malacothrix saxatilis
Malacothrix saxatilis var. commutata
Malacothrix saxatilis var. tenuifolia
Matricaria
Matricaria chamomilla
Matricaria discoidea
Matricaria matricarioides
Matricaria occidentalis
Mauranthemum paludosum
Micropus californicus
Micropus californicus var. californicus
Micropus californicus var. subvestitus
Microseris
Microseris acuminata
Microseris bigelovii
Microseris campestris
Microseris douglasii
Microseris douglasii subsp. douglasii
Microseris douglasii subsp. tenella
Microseris elegans
Microseris heterocarpa
Microseris lindleyi
Microseris paludosa
Monolopia
Monolopia congdonii
Monolopia gracilens
Monolopia lanceolata
Monolopia major
Monolopia stricta
Osteospermum ecklonis
Osteospermum fruticosum
Packera breweri
Packera eurycephala
Pallenis maritima
Pentachaeta
Pentachaeta alsinoides
Pentachaeta aurea
Pentachaeta exilis
Pentachaeta exilis subsp. aeolica
Pentachaeta exilis subsp. exilis
Pentachaeta fragilis
Peucephyllum schottii
Picris echioides
Plecostachys serpyllifolia
Pluchea odorata var. odorata
Pluchea sericea
Pseudognaphalium
Pseudognaphalium beneolens
Pseudognaphalium biolettii
Pseudognaphalium californicum
Pseudognaphalium luteoalbum
Pseudognaphalium microcephalum
Pseudognaphalium ramosissimum
Pseudognaphalium stramineum
Pseudognaphalium thermale
Psilocarphus
Psilocarphus brevissimus
Psilocarphus brevissimus var. brevissimus
Psilocarphus chilensis
Psilocarphus oregonus
Psilocarphus tenellus
Psilocarphus tenellus var. tenellus
Pulicaria paludosa
Rafinesquia californica
Ratibida columnifera
Rhaponticum repens
Rigiopappus leptocladus
Roldana petasitis
Santolina chamaecyparissus
Santolina virens
Senecio
Senecio aphanactis
Senecio aronicoides
Senecio astephanus
Senecio blochmaniae
Senecio breweri
Senecio californicus
Senecio californicus var. ammophilus
Senecio californicus var. californicus
Senecio cineraria
Senecio douglasii
Senecio douglasii var. douglasii
Senecio elegans
Senecio flaccidus
Senecio flaccidus var. douglasii
Senecio glomeratus
Senecio mikanioides
Senecio minimus
Senecio petasitis
Senecio sylvaticus
Senecio vitalis
Senecio vulgaris
Silybum marianum
Solidago
Solidago californica
Solidago canadensis subsp. elongata
Solidago confinis
Solidago elongata
Solidago guiradonis
Solidago occidentalis
